Year,Gini_Index,Education_Spending_%GDP,Unemployment_%,Country_Canada,Country_China,Country_France,Country_Germany,Country_India,Country_Indonesia,Country_Japan,Country_South Africa,Country_UK,Country_USA
2015,0.8425485077947986,0.5270717645584267,-0.26867311827048784,False,False,False,False,False,False,False,False,False,False
2017,-0.999992690660414,0.40730923377354733,0.48923774103055173,False,False,False,False,True,False,False,False,False,False
2004,-0.8694534216635517,-0.62587386859224,-1.1720621458797376,False,False,False,False,False,False,False,False,False,False
2021,0.8799663433899004,-0.6300302940669906,0.006374215033954059,False,False,False,False,False,False,False,False,False,False
2003,-0.2587265589562702,-0.5721345116333647,0.0829625587666417,False,False,False,False,True,False,False,False,False,False
2012,-0.8464345059606262,1.0576717351715792,0.3192932258192649,False,False,False,False,True,False,False,False,False,False
2018,0.1685021190303082,-1.8904485003464817,-1.380108336013389,False,False,False,False,False,False,False,False,False,False
2022,-0.6407333241858575,-0.22252502976056737,-0.5313910679858027,False,False,False,False,False,False,False,False,False,True
2001,0.06945504330641783,1.479307159316324,0.5194051684158041,False,False,False,False,False,False,False,False,False,False
2012,-0.44060235596063674,0.6268085316882405,0.15334166369223814,False,False,False,False,False,False,False,False,False,False
2010,-0.3644858667348092,1.0893374513921182e-15,1.6247069368458174,False,False,False,False,False,False,False,False,False,False
2021,0.9126882710409395,-0.20893023738297517,-0.5834992086835231,False,False,False,False,False,False,False,False,False,False
2003,-2.2661702184753363,-1.2053310801749748,-2.0059354829971947,False,False,False,False,True,False,False,False,False,False
2021,0.41915363308785514,-0.009016951598500179,-0.5220013564694794,False,False,False,False,False,False,False,False,False,False
2019,0.7661799346967135,-0.7396321594551674,-2.6643121842871116,False,False,False,False,False,False,False,False,False,True
2019,-0.6260508822771782,2.1250658106797946,0.6180909436789355,False,False,False,False,True,False,False,False,False,False
2014,0.7593536125293389,-0.21885810639583958,-0.07010144929494841,False,False,False,False,False,False,False,False,False,True
2003,-1.051859921020335e-15,0.5618101699489302,0.3216286990234732,False,False,False,False,False,False,False,False,False,True
2008,-0.659793707296262,1.6067096362647286,0.4770641437776453,False,False,False,False,False,False,False,False,False,True
2006,-0.7621016183635639,-1.1397739915002079,0.9476636908702155,False,False,False,False,False,False,False,False,False,True
2018,0.7713683509388687,-2.300500321025109,-2.5950410539007938,False,False,False,False,True,False,False,False,False,False
2018,-1.623477019978999,0.417138673843526,-2.059391916515646,False,False,False,False,True,False,False,False,False,False
2005,1.3832209490345382,0.6019097541126252,-0.8040570655958605,False,False,False,False,False,False,False,False,False,True
2005,-0.3444368128949568,-0.4699637019192904,-0.3635162031871018,False,False,False,False,False,False,False,False,False,True
2019,0.47258999544188834,-1.1981586467246652,0.1277197862780415,False,False,False,False,True,False,False,False,False,False
2014,0.3960219527884754,0.2403338610052894,0.05477401418436342,False,False,False,False,True,False,False,False,False,False
2014,0.06074133224840765,-0.08695685028392683,0.10435999533944021,False,False,False,False,True,False,False,False,False,False
2019,-0.6071246891835613,0.25248324932037647,-1.5920678780002449,False,False,False,False,False,False,False,False,False,False
2008,1.0299108343975003,-1.1752995500989456,-0.8424994325478375,False,False,False,False,False,False,False,False,False,False
2003,-0.5308847866910547,0.25502860360136875,-0.381589018758063,False,False,False,False,False,False,False,False,False,False
2017,-0.7230925728260472,0.7404613114900773,-0.21403767351161893,False,False,False,False,False,False,False,False,False,True
2017,0.7060116932687139,-1.5412161554516337,-0.5552849713673185,False,False,False,False,False,False,False,False,False,False
2004,0.055871978262788356,1.369286264078832,0.18116215359285467,False,False,False,False,False,False,False,False,False,True
2019,1.13245457967616,0.18604833147255131,-1.1805042450267098,False,False,False,False,False,False,False,False,False,True
2022,-0.1292472334022803,0.7712795625742972,-0.5378633482131215,False,False,False,False,False,False,False,False,False,False
2010,-0.6517036755924952,-1.3185282307355812,0.4237558643724252,False,False,False,False,False,False,False,False,False,True
2004,0.17044647832786478,0.6060872526533589,0.13249075937476257,False,False,False,False,False,False,False,False,False,False
2021,-0.47116632499414585,-1.6773595937380033,-0.4313031651174541,False,False,False,False,False,False,False,False,False,False
2003,-0.6259872594258058,-0.9940650732993235,-0.40915751812251244,False,False,False,False,True,False,False,False,False,False
2011,0.665311745971985,0.1947560352999843,-0.531515886461194,False,False,False,False,False,False,False,False,False,False
2001,1.5532325978600905,-0.3344158879925892,-0.3939015774020223,False,False,False,False,True,False,False,False,False,False
2012,-0.29249676313491296,-0.03667702084722646,-0.5585645567356347,False,False,False,False,False,False,False,False,False,False
2009,-0.939366712839427,1.827471830463546,-0.4225540647359065,False,False,False,False,False,False,False,False,False,False
2008,-0.20988777259341937,-0.052064845680417145,0.22151610085946274,False,False,False,False,True,False,False,False,False,False
2009,0.3836697966243563,0.6326938618101442,0.20117107371594897,False,False,False,False,True,False,False,False,False,False
2006,0.15511235377783622,-0.12916683612542418,-1.3480345638512914,False,False,False,False,False,False,False,False,False,False
2003,0.9871513091413943,-0.15822842057457331,1.6812338900504866,False,False,False,False,False,False,False,False,False,True
2018,0.517158654466102,-1.0235215129878932,-0.596963940333077,False,False,False,False,True,False,False,False,False,False
2009,-1.0536520347032092,0.2975401795859544,0.3904878412957762,False,False,False,False,False,False,False,False,False,True
2002,-0.5117588910488984,2.424124936651437,-1.112624405054581,False,False,False,False,False,False,False,False,False,True
2020,-1.30006525466647,0.022553179071216477,1.360141012627369,False,False,False,False,False,False,False,False,False,True
2018,0.9431380833783637,-0.3256419442718834,0.4581163871110648,False,False,False,False,True,False,False,False,False,False
2020,-1.8428128875413197,1.0550352651365233,0.30617972685919265,False,False,False,False,False,False,False,False,False,True
2001,-1.2134625331523385,0.939904820026745,-0.24154393195479967,False,False,False,False,True,False,False,False,False,False
2019,-0.5281767917454928,0.3671409151063439,-1.862358663542185,False,False,False,False,False,False,False,False,False,True
2009,0.42729560388876675,-0.36622467524815144,1.555424729209175,False,False,False,False,False,False,False,False,False,False
2001,-0.536926568401037,1.059241519350447,0.7659502966881451,False,False,False,False,False,False,False,False,False,False
2001,-0.3979881530216668,0.054998148489553304,-0.3806703225574778,False,False,False,False,True,False,False,False,False,False
2023,-0.38048891499124954,0.8329137825364806,0.3999596316708801,False,False,False,False,False,False,False,False,False,False
2016,0.0798831439097513,-0.8675416852547416,-1.3457762332676761,False,False,False,False,False,False,False,False,False,False
2015,-1.1576640510804368,-0.6393296023193527,-1.9272315640953077,False,False,False,False,False,False,False,False,False,True
2015,-0.9148837838241483,0.031400584654848886,-0.05095371389820032,False,False,False,False,True,False,False,False,False,False
2013,1.419439294760182,-1.2756273937024276,-0.845145514743053,False,False,False,False,False,False,False,False,False,True
2006,0.2838323407139392,-0.42659935923001785,-0.537883892641759,False,False,False,False,False,False,False,False,False,True
2020,0.6021541870692458,-1.3191251095192378,-0.11841744038615319,False,False,False,False,False,False,False,False,False,True
2010,-0.0220433606500889,-1.5793496582165611,-1.225435357583704,False,False,False,False,False,False,False,False,False,True
2023,-0.19818453852949428,2.3265097441964535,-0.14524324953895124,False,False,False,False,False,False,False,False,False,True
2000,0.332446085133839,-0.6611756077842315,-1.144326267882196,False,False,False,False,False,False,False,False,False,True
2010,0.5726933806197099,-0.5748881415108541,0.9208746606899892,False,False,False,False,False,False,False,False,False,True
2022,0.6779133041309412,0.015053101688513152,-0.16490113183947278,False,False,False,False,True,False,False,False,False,False
2020,-0.18599759338316754,-1.1054209822326062,0.44774114888647093,False,False,False,False,False,False,False,False,False,False
2003,0.7749961768874825,-0.555887578480544,-1.7965120871711149,False,False,False,False,False,False,False,False,False,True
2006,-2.264120310791945,1.7362432564451942,0.5084292111583946,False,False,False,False,False,False,False,False,False,True
2014,0.7189589854999706,0.28770608347731713,1.393849658024566,False,False,False,False,False,False,False,False,False,True
2017,-0.4527702910251328,0.9038746099992322,0.04775251029341604,False,False,False,False,False,False,False,False,False,True
2011,0.4179382788977273,1.480333607967004,0.4424553357591987,False,False,False,False,False,False,False,False,False,True
